"ABC","Type","SKU","Name","Published","Is featured?","Visibility in catalog","Short description","Description","Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?","Stock","Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price","Categories","Tags","Shipping class","Images","Download limit","Download expiry days","Parent","Grouped products","Upsells","Cross-sells","External URL","Button text","Position","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 1 default","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 2 default","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 3 default","","","","","","All image convert","slugimage","Slug url",""
"6694456328262","variable","VINTAG-8262","Vintage Non-Slip Arch Support Boots","-1","0","visible","","<p style=""text-align: center;""><meta charset=""utf-8""><img src=""https://cdn.shopify.com/s/files/1/0280/4822/8422/files/Badges-removebg-preview_480x480.png?v=1658126489"" width=""381"" height=""100""><br><meta charset=""utf-8""></p>
<p style=""text-align: center;""><meta charset=""utf-8""><strong>Step into style and comfort with our new Vintage Non-Slip Arch Support Boots.?</strong></p>
<p>By eliminating muscle weakness and imbalances, these boots allow you to experience the joys of everyday life without pain. The classic brown leather design is not only attractive, but also durable, making these shoes a wise investment for your health and well-being.</p>
<p><img style=""display: block; margin-left: auto; margin-right: auto;"" height=""290"" width=""388"" src=""https://cdn.shopify.com/s/files/1/0280/4822/8422/files/37bb094f-a5b7-4301-99c0-76bd985e6a5f-removebg-preview_480x480.png?v=1660710283"" alt=""""></p>
<p>Our new Vintage Non-Slip Arch Support Boots are the perfect choice for both style and comfort.<br><br>These classically styled boots are made with attractive brown leather and feature cushioned soles that promote good posture and eliminate muscle weakness and imbalances. Plus, the non-slip design means you can wear them anywhere, anytime without worry.</p>
<p style=""text-align: center;""><br>With their stylish look and superior comfort, our Vintage Non-Slip Arch Support Boots are the perfect choice for anyone looking for a great orthopedic shoe.<br></p>
<div itemprop=""description"">
<div>
<section data-section-settings='{
  ""enableHistoryState"": true,
  ""templateSuffix"": null,
  ""showInventoryQuantity"": false,
  ""stackProductImages"": false,
  ""showThumbnails"": true,
  ""inventoryQuantityThreshold"": 9,
  ""showPriceInButton"": true,
  ""enableImageZoom"": true,
  ""showPaymentButton"": true,
  ""useAjaxCart"": false
}' data-section-type=""product"" data-section-id=""product-template""><div>
<div>
<div>
<div>
<div>
<div>
<div>
<div>
<div>
<div></div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</section></div>
</div>
<div itemprop=""description"">
<div>
<section data-section-settings='{
  ""enableHistoryState"": true,
  ""templateSuffix"": null,
  ""showInventoryQuantity"": false,
  ""stackProductImages"": false,
  ""showThumbnails"": true,
  ""inventoryQuantityThreshold"": 9,
  ""showPriceInButton"": true,
  ""enableImageZoom"": true,
  ""showPaymentButton"": true,
  ""useAjaxCart"": false
}' data-section-type=""product"" data-section-id=""product-template""><div>
<div>
<div>
<div>
<div>
<div>
<div>
<div>
<div></div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</section></div>
</div>","","","","","1","","","0","0","","","","","1","","","","","","","https://cdn.shopify.com/s/files/1/0280/4822/8422/products/H868031dc90294f6e9b5b8e881cc187e1R.jpg,https://cdn.shopify.com/s/files/1/0280/4822/8422/products/product-image-1856805999.jpg,https://cdn.shopify.com/s/files/1/0280/4822/8422/products/product-image-1856806001.jpg,https://cdn.shopify.com/s/files/1/0280/4822/8422/products/product-image-1856806003.jpg,https://cdn.shopify.com/s/files/1/0280/4822/8422/products/product-image-1856806000.jpg,https://cdn.shopify.com/s/files/1/0280/4822/8422/products/product-image-1856806013.jpg,https://cdn.shopify.com/s/files/1/0280/4822/8422/products/product-image-1856806021.jpg,https://cdn.shopify.com/s/files/1/0280/4822/8422/products/product-image-1856806006.jpg,https://cdn.shopify.com/s/files/1/0280/4822/8422/products/product-image-1856806017.jpg,https://cdn.shopify.com/s/files/1/0280/4822/8422/products/product-image-1856806002.jpg,https://cdn.shopify.com/s/files/1/0280/4822/8422/products/product-image-1856806026.jpg,https://cdn.shopify.com/s/files/1/0280/4822/8422/products/product-image-1856806016.jpg,https://cdn.shopify.com/s/files/1/0280/4822/8422/products/product-image-1856806004.jpg,https://cdn.shopify.com/s/files/1/0280/4822/8422/products/product-image-1856806027.jpg,https://cdn.shopify.com/s/files/1/0280/4822/8422/products/H515292a79bb74308aa5db5aeb885c7fcU.jpg","","","","","","","","","0","Size","5.5, 5.5, 6.5, 6.5, 7.5, 7.5, 8, 8, 8.5, 8.5, 9, 9, 10, 10, 10.5, 10.5, 11, 11, 11.5, 11.5, 12, 12","0","0","5.5","Color","Black, Brown, Black, Brown, Black, Brown, Black, Brown, Black, Brown, Black, Brown, Black, Brown, Black, Brown, Black, Brown, Black, Brown, Black, Brown","0","0","Black","","","","","","","","","","","vintage-non-slip-arch-support-boots-8262-0.jpg,vintage-non-slip-arch-support-boots-8262-1.jpg,vintage-non-slip-arch-support-boots-8262-2.jpg,vintage-non-slip-arch-support-boots-8262-3.jpg,vintage-non-slip-arch-support-boots-8262-4.jpg,vintage-non-slip-arch-support-boots-8262-5.jpg,vintage-non-slip-arch-support-boots-8262-6.jpg,vintage-non-slip-arch-support-boots-8262-7.jpg,vintage-non-slip-arch-support-boots-8262-8.jpg,vintage-non-slip-arch-support-boots-8262-9.jpg,vintage-non-slip-arch-support-boots-8262-10.jpg,vintage-non-slip-arch-support-boots-8262-11.jpg,vintage-non-slip-arch-support-boots-8262-12.jpg,vintage-non-slip-arch-support-boots-8262-13.jpg,vintage-non-slip-arch-support-boots-8262-14.jpg","H868031dc90294f6e9b5b8e881cc187e1R.jpg,product-image-1856805999.jpg,product-image-1856806001.jpg,product-image-1856806003.jpg,product-image-1856806000.jpg,product-image-1856806013.jpg,product-image-1856806021.jpg,product-image-1856806006.jpg,product-image-1856806017.jpg,product-image-1856806002.jpg,product-image-1856806026.jpg,product-image-1856806016.jpg,product-image-1856806004.jpg,product-image-1856806027.jpg,H515292a79bb74308aa5db5aeb885c7fcU.jpg","universal-ankle-high-quality-leather-winter-boots","http://remtica.com/wp-content/uploads/sites/19/2022/02/vintage-non-slip-arch-support-boots-8262-0.jpg,http://remtica.com/wp-content/uploads/sites/19/2022/02/vintage-non-slip-arch-support-boots-8262-1.jpg,http://remtica.com/wp-content/uploads/sites/19/2022/02/vintage-non-slip-arch-support-boots-8262-2.jpg,http://remtica.com/wp-content/uploads/sites/19/2022/02/vintage-non-slip-arch-support-boots-8262-3.jpg,http://remtica.com/wp-content/uploads/sites/19/2022/02/vintage-non-slip-arch-support-boots-8262-4.jpg,http://remtica.com/wp-content/uploads/sites/19/2022/02/vintage-non-slip-arch-support-boots-8262-5.jpg,http://remtica.com/wp-content/uploads/sites/19/2022/02/vintage-non-slip-arch-support-boots-8262-6.jpg,http://remtica.com/wp-content/uploads/sites/19/2022/02/vintage-non-slip-arch-support-boots-8262-7.jpg,http://remtica.com/wp-content/uploads/sites/19/2022/02/vintage-non-slip-arch-support-boots-8262-8.jpg,http://remtica.com/wp-content/uploads/sites/19/2022/02/vintage-non-slip-arch-support-boots-8262-9.jpg,http://remtica.com/wp-content/uploads/sites/19/2022/02/vintage-non-slip-arch-support-boots-8262-10.jpg,http://remtica.com/wp-content/uploads/sites/19/2022/02/vintage-non-slip-arch-support-boots-8262-11.jpg,http://remtica.com/wp-content/uploads/sites/19/2022/02/vintage-non-slip-arch-support-boots-8262-12.jpg,http://remtica.com/wp-content/uploads/sites/19/2022/02/vintage-non-slip-arch-support-boots-8262-13.jpg,http://remtica.com/wp-content/uploads/sites/19/2022/02/vintage-non-slip-arch-support-boots-8262-14.jpg"
"","variation","VINTAG-8262-1","Vintage Non-Slip Arch Support Boots","1","0","visible","","","","","taxable","parent","1","","","0","0","","","","","0","","89.99","280","","","","https://cdn.shopify.com/s/files/1/0280/4822/8422/products/product-image-1856805999.jpg","","","VINTAG-8262","","","","","","1","Size","5.5","","0","","Color","Black","","0","","","","","","","","","","","","vintage-non-slip-arch-support-boots-8262-1.jpg","product-image-1856805999.jpg","","http://remtica.com/wp-content/uploads/sites/19/2022/02/vintage-non-slip-arch-support-boots-8262-1.jpg"
"","variation","VINTAG-8262-2","Vintage Non-Slip Arch Support Boots","1","0","visible","","","","","taxable","parent","1","","","0","0","","","","","0","","89.99","280","","","","https://cdn.shopify.com/s/files/1/0280/4822/8422/products/product-image-1856806000.jpg","","","VINTAG-8262","","","","","","2","Size","5.5","","0","","Color","Brown","","0","","","","","","","","","","","","vintage-non-slip-arch-support-boots-8262-4.jpg","product-image-1856806000.jpg","","http://remtica.com/wp-content/uploads/sites/19/2022/02/vintage-non-slip-arch-support-boots-8262-4.jpg"
"","variation","VINTAG-8262-3","Vintage Non-Slip Arch Support Boots","1","0","visible","","","","","taxable","parent","1","","","0","0","","","","","0","","89.99","280","","","","https://cdn.shopify.com/s/files/1/0280/4822/8422/products/product-image-1856805999.jpg","","","VINTAG-8262","","","","","","3","Size","6.5","","0","","Color","Black","","0","","","","","","","","","","","","vintage-non-slip-arch-support-boots-8262-1.jpg","product-image-1856805999.jpg","","http://remtica.com/wp-content/uploads/sites/19/2022/02/vintage-non-slip-arch-support-boots-8262-1.jpg"
"","variation","VINTAG-8262-4","Vintage Non-Slip Arch Support Boots","1","0","visible","","","","","taxable","parent","1","","","0","0","","","","","0","","89.99","280","","","","https://cdn.shopify.com/s/files/1/0280/4822/8422/products/product-image-1856806013.jpg","","","VINTAG-8262","","","","","","4","Size","6.5","","0","","Color","Brown","","0","","","","","","","","","","","","vintage-non-slip-arch-support-boots-8262-5.jpg","product-image-1856806013.jpg","","http://remtica.com/wp-content/uploads/sites/19/2022/02/vintage-non-slip-arch-support-boots-8262-5.jpg"
"","variation","VINTAG-8262-5","Vintage Non-Slip Arch Support Boots","1","0","visible","","","","","taxable","parent","1","","","0","0","","","","","0","","89.99","280","","","","https://cdn.shopify.com/s/files/1/0280/4822/8422/products/product-image-1856805999.jpg","","","VINTAG-8262","","","","","","5","Size","7.5","","0","","Color","Black","","0","","","","","","","","","","","","vintage-non-slip-arch-support-boots-8262-1.jpg","product-image-1856805999.jpg","","http://remtica.com/wp-content/uploads/sites/19/2022/02/vintage-non-slip-arch-support-boots-8262-1.jpg"
"","variation","VINTAG-8262-6","Vintage Non-Slip Arch Support Boots","1","0","visible","","","","","taxable","parent","1","","","0","0","","","","","0","","89.99","280","","","","https://cdn.shopify.com/s/files/1/0280/4822/8422/products/product-image-1856806003.jpg","","","VINTAG-8262","","","","","","6","Size","7.5","","0","","Color","Brown","","0","","","","","","","","","","","","vintage-non-slip-arch-support-boots-8262-3.jpg","product-image-1856806003.jpg","","http://remtica.com/wp-content/uploads/sites/19/2022/02/vintage-non-slip-arch-support-boots-8262-3.jpg"
"","variation","VINTAG-8262-7","Vintage Non-Slip Arch Support Boots","1","0","visible","","","","","taxable","parent","1","","","0","0","","","","","0","","89.99","280","","","","https://cdn.shopify.com/s/files/1/0280/4822/8422/products/product-image-1856806002.jpg","","","VINTAG-8262","","","","","","7","Size","8","","0","","Color","Black","","0","","","","","","","","","","","","vintage-non-slip-arch-support-boots-8262-9.jpg","product-image-1856806002.jpg","","http://remtica.com/wp-content/uploads/sites/19/2022/02/vintage-non-slip-arch-support-boots-8262-9.jpg"
"","variation","VINTAG-8262-8","Vintage Non-Slip Arch Support Boots","1","0","visible","","","","","taxable","parent","1","","","0","0","","","","","0","","89.99","280","","","","https://cdn.shopify.com/s/files/1/0280/4822/8422/products/product-image-1856806000.jpg","","","VINTAG-8262","","","","","","8","Size","8","","0","","Color","Brown","","0","","","","","","","","","","","","vintage-non-slip-arch-support-boots-8262-4.jpg","product-image-1856806000.jpg","","http://remtica.com/wp-content/uploads/sites/19/2022/02/vintage-non-slip-arch-support-boots-8262-4.jpg"
"","variation","VINTAG-8262-9","Vintage Non-Slip Arch Support Boots","1","0","visible","","","","","taxable","parent","1","","","0","0","","","","","0","","89.99","280","","","","https://cdn.shopify.com/s/files/1/0280/4822/8422/products/product-image-1856806002.jpg","","","VINTAG-8262","","","","","","9","Size","8.5","","0","","Color","Black","","0","","","","","","","","","","","","vintage-non-slip-arch-support-boots-8262-9.jpg","product-image-1856806002.jpg","","http://remtica.com/wp-content/uploads/sites/19/2022/02/vintage-non-slip-arch-support-boots-8262-9.jpg"
